Subscription,Resource Group,Description,Scope,Environment,Asset Type,Description,Region,Index,Separator,Resource Name,Tag1,Tag1Value,Tag2,Tag2Value
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Log Analytics Workspace,Shared Platform,Production,Management and governance: Log Analytics workspace,esposter,Australia East,#001,-,p-shp-log-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Application Insights,Shared Platform,Production,Management and governance: Application Insights,esposter,Australia East,#001,-,p-shp-appi-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Logic App Stop Function App,Shared Platform,Production,Integration: Logic apps,esposter,Australia East,#001,-,p-shp-logic-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,API Connection Stop Function App,Shared Platform,Production,Networking: API connection,esposter,Australia East,#001,-,p-shp-apicn-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Logic App Start Function App,Shared Platform,Production,Integration: Logic apps,esposter,Australia East,#002,-,p-shp-logic-esposter-auea-002,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,API Connection Start Function App,Shared Platform,Production,Networking: API connection,esposter,Australia East,#002,-,p-shp-apicn-esposter-auea-002,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Budget Stop Function,Shared Platform,Production,Management and governance: Budget,esposter,Australia East,#001,-,p-shp-bdg-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Action Group Stop Function,Shared Platform,Production,Management and governance: Azure Monitor action group,esposter,Australia East,#001,-,p-shp-ag-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Action,Shared Platform,Production,Management and governance: Azure Monitor action,esposter,Australia East,#001,-,p-shp-a-esposter-auea-001,,,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Action Group Smart Detect,Shared Platform,Production,Management and governance: Azure Monitor action group,esposter,Australia East,#002,-,p-shp-ag-esposter-auea-002,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Web PubSub,Shared Platform,Production,Compute and Web: Web PubSub,esposter,Australia East,#001,-,p-shp-pubsub-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Event Grid Topic,Shared Platform,Production,Analytics and IoT: Event Grid Topic,esposter,Australia East,#001,-,p-shp-evgt-esposter-auea-001,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Event Grid Topic Subscription ProcessWebhook,Shared Platform,Production,Analytics and IoT: Event Grid Topic Subscription,esposter,Australia East,#001,-,p-shp-evgts-esposter-auea-001,,,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Event Grid Topic Subscription ProcessPushNotification,Shared Platform,Production,Analytics and IoT: Event Grid Topic Subscription,esposter,Australia East,#002,-,p-shp-evgts-esposter-auea-002,,,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Logic App Delete ProcessWebhook & ProcessPushNotification Event Subscription,Shared Platform,Production,Integration: Logic apps,esposter,Australia East,#003,-,p-shp-logic-esposter-auea-003,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,API Connection Delete ProcessWebhook & ProcessPushNotification Event Subscription,Shared Platform,Production,Networking: API connection,esposter,Australia East,#003,-,p-shp-apicn-esposter-auea-003,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Logic App Create ProcessWebhook & ProcessPushNotification Event Subscription,Shared Platform,Production,Integration: Logic apps,esposter,Australia East,#004,-,p-shp-logic-esposter-auea-004,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,API Connection Create ProcessWebhook & ProcessPushNotification Event Subscription,Shared Platform,Production,Networking: API connection,esposter,Australia East,#004,-,p-shp-apicn-esposter-auea-004,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Budget Delete ProcessWebhook & ProcessPushNotification Event Subscription,Shared Platform,Production,Management and governance: Budget,esposter,Australia East,#002,-,p-shp-bdg-esposter-auea-002,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Action Group Delete ProcessWebhook & ProcessPushNotification Event Subscription,Shared Platform,Production,Management and governance: Azure Monitor action group,esposter,Australia East,#003,-,p-shp-ag-esposter-auea-003,Application,Esposter,,
Azure Basic Subscription,p-shp-rg-esposter-auea-001,Action,Shared Platform,Production,Management and governance: Azure Monitor action,esposter,Australia East,#002,-,p-shp-a-esposter-auea-002,,,,
STOP,,STOP,STOP,STOP,STOP,STOP,STOP,STOP,STOP,,STOP,STOP,,
