Purpose Full,Subscription,Resource Group,Env Full,Env,Scope Full,Scope,Asset Type Full,Asset Type,Region Full,Region,Index,TagName,TagValue,Classification,,,,
,,,,,,,Databases: Azure SQL database,sqldb,,,,,,,,Databases,Azure SQL database,sqldb
,,,,,,,Databases: Azure Cosmos DB database for table,cmstb,,,,,,,,Databases,Azure Cosmos DB database for table,cmstb
,,,,,,,Databases: Azure Cache for Redis instance,redis,,,,,,,,Databases,Azure Cache for Redis instance,redis
,,,,,,,Databases: MySQL database,mysql,,,,,,,,Databases,MySQL database,mysql
,,,,,,,Databases: PostgreSQL database,psql,,,,,,,,Databases,PostgreSQL database,psql
,,,,,,,Databases: Azure SQL Data Warehouse,sqldw,,,,,,,,Databases,Azure SQL Data Warehouse,sqldw
,,,,,,,Databases: Azure Synapse Analytics,syn,,,,,,,,Databases,Azure Synapse Analytics,syn
,,,,,,,Databases: SQL Server Stretch Database,sqlstrdb,,,,,,,,Databases,SQL Server Stretch Database,sqlstrdb
,,,,,,,Databases: SQL Managed Instance,sqlmi,,,,,,,,Databases,SQL Managed Instance,sqlmi
,,,,,,,Databases: SQL Elastic database pool,sqledp,,,,,,,,Databases,SQL Elastic database pool,sqledp
,,,,,,,Storage: Storage account,st,,,,,,,,Storage,Storage account,st
,,,,,,,Storage: Storage account (Classic),stc,,,,,,,,Storage,Storage account (Classic),stc
,,,,,,,Storage: Azure StorSimple,ssimp,,,,,,,,Storage,Azure StorSimple,ssimp
,,,,,,,Storage: Azure Container Registry,acr,,,,,,,,Storage,Azure Container Registry,acr
,,,,,,,AI and Machine Learning: Azure Cognitive Search,srch,,,,,,,,AI and Machine Learning,Azure Cognitive Search,srch
,,,,,,,AI and Machine Learning: Azure Cognitive Services,cog,,,,,,,,AI and Machine Learning,Azure Cognitive Services,cog
,,,,,,,AI and Machine Learning: Azure Cognitive Speech Services,spch,,,,,,,,AI and Machine Learning,Azure Cognitive Speech Services,spch
,,,,,,,AI and Machine Learning: Azure Machine Learning workspace,mlw,,,,,,,,AI and Machine Learning,Azure Machine Learning workspace,mlw
,,,,,,,Analytics and IoT: Azure Analysis Services server,as,,,,,,,,Analytics and IoT,Azure Analysis Services server,as
,,,,,,,Analytics and IoT: Azure Databricks workspace,dbw,,,,,,,,Analytics and IoT,Azure Databricks workspace,dbw
,,,,,,,Analytics and IoT: Azure Stream Analytics,asa,,,,,,,,Analytics and IoT,Azure Stream Analytics,asa
